Monkey,Muscle,Hemisphere,Data_Type,N,Mean,SEM,STD,Median,Q25,Q75,Min,Max,CV_Percent
Olive,Upper Arm,Healthy,Raw,182,12.229245500712922,0.5069045714234981,6.8385165426770245,13.681803600213858,4.831338609081263,17.625884147841347,2.0287858875255997,47.59175089240843,55.9193659353585
Olive,Upper Arm,Healthy,Clean,182,12.229245500712922,0.5069045714234981,6.8385165426770245,13.681803600213858,4.831338609081263,17.625884147841347,2.0287858875255997,47.59175089240843,55.9193659353585
Olive,Upper Arm,Stroke,Raw,273,6.042315665496983,0.5741857453829207,9.487105499827472,2.3923366516038023,1.8109034908828896,3.8471010109270978,0.7466284760625654,56.955911446956165,157.011086891753
Olive,Upper Arm,Stroke,Clean,235,2.7098758040479023,0.10411528218339401,1.5960570529495568,2.1945290165394877,1.7474355872026683,2.9298642231087175,0.7466284760625654,9.82050590504204,58.897793417891386
Olive,Forearm,Healthy,Raw,182,14.56549165725555,0.754059587082989,10.172819996375724,15.565882097919324,3.582317079486744,21.49866011302174,1.8866964981606105,71.37337737531348,69.8419266287404
Olive,Forearm,Healthy,Clean,182,14.56549165725555,0.754059587082989,10.172819996375724,15.565882097919324,3.582317079486744,21.49866011302174,1.8866964981606105,71.37337737531348,69.8419266287404
Olive,Forearm,Stroke,Raw,273,4.8312962584790835,0.1948157430865341,3.2188843463131533,3.9472298312534977,3.091672881149117,5.295532509432656,0.9870689894851472,22.69764216138436,66.62568747805324
Olive,Forearm,Stroke,Clean,261,4.2867224189016815,0.11671986569569456,1.8856671391137605,3.902725706363445,3.070807034699463,4.998026216139714,0.9870689894851472,11.75148152601576,43.98855243808613
Olive,Hand,Healthy,Raw,182,71.38683477505336,9.059712807731842,122.22220788736237,19.31744559322975,4.226499836813768,89.62605044524928,2.177289803833458,922.5726125294318,171.21113195800888
Olive,Hand,Healthy,Clean,176,53.73906776458914,5.08393184062988,67.44597750044088,18.39180156378157,4.15474035443444,80.0174886396334,2.177289803833458,316.1511711080675,125.50641517619287
Olive,Hand,Stroke,Raw,273,11.557861170995913,0.599845010315029,9.911066135242745,8.634066721370168,6.352293913357633,12.91850388741683,2.232500586364896,98.77499173771643,85.7517319909868
Olive,Hand,Stroke,Clean,268,10.636240479427599,0.38000375043985096,6.220929503969522,8.559517089792717,6.219807000643707,12.758308815583622,2.232500586364896,31.85332916231177,58.48804862960666
Cheddar,Upper Arm,Healthy,Raw,105,33.336301799879166,3.253664363864035,33.34013854547202,20.988719843568276,13.414242175796227,48.14501827992581,5.334810225473359,203.93328144013736,100.01150921183725
Cheddar,Upper Arm,Healthy,Clean,102,28.725603731840078,1.949719298922196,19.691199687884566,20.163424193436647,13.067901730379145,43.88394329218594,5.334810225473359,73.15459598906037,68.54929794237333
Cheddar,Upper Arm,Stroke,Raw,207,1.0416153869435532,0.014145683337694212,0.20352094220914016,1.0221086176538636,0.8805162365899877,1.1570026566739584,0.6747727342465797,1.7298815530498235,19.538972327044675
Cheddar,Upper Arm,Stroke,Clean,207,1.0416153869435532,0.014145683337694212,0.20352094220914016,1.0221086176538636,0.8805162365899877,1.1570026566739584,0.6747727342465797,1.7298815530498235,19.538972327044675
Cheddar,Forearm,Healthy,Raw,105,38.1976671731792,5.1919167160321,53.20131497014357,11.848252353708563,7.97291166098471,41.19027168116317,4.215807842813497,269.72236275365316,139.2789636313165
Cheddar,Forearm,Healthy,Clean,97,25.69689038010986,2.980024369734581,29.349836263402945,11.357794030723792,7.757927646982938,36.75667211112351,4.215807842813497,139.21672952023923,114.21551724453232
Cheddar,Forearm,Stroke,Raw,207,166.28399577962043,87.1115129770969,1253.316419937079,6.98460276549118,5.6342445014380775,9.251901536039115,1.5773362047016075,14658.083158647332,753.7204131166807
Cheddar,Forearm,Stroke,Clean,192,7.312753790438634,0.20413838579225335,2.8286244477382354,6.706567280828867,5.553835682972494,8.286140525278517,1.5773362047016075,18.219028316343817,38.68070126245244
Cheddar,Hand,Healthy,Raw,105,12.992806767632995,1.7656336468691531,18.092361050189908,7.040285259513044,5.693442640804722,10.42288664805832,3.4713706518838228,99.39512556589396,139.24905814239196
Cheddar,Hand,Healthy,Clean,96,7.978463498542859,0.4014395834128162,3.933288567667381,6.697601972999536,5.649727175159249,8.686992030933379,3.4713706518838228,22.274393141861797,49.298822616481665
Cheddar,Hand,Stroke,Raw,207,1.0724831522656297,0.014149643613172447,0.20357792065107874,1.0738200613512403,0.9244295245149463,1.189329671280724,0.6547512874898537,1.6824162400962877,18.98192248717555
Cheddar,Hand,Stroke,Clean,207,1.0724831522656297,0.014149643613172447,0.20357792065107874,1.0738200613512403,0.9244295245149463,1.189329671280724,0.6547512874898537,1.6824162400962877,18.98192248717555
Chive,Upper Arm,Healthy,Raw,85,36.68628657644451,3.4277240177333814,31.6020539688235,30.299177702339676,19.25931080208284,34.5535221369571,5.938218423510072,185.733655026297,86.14132668612613
Chive,Upper Arm,Healthy,Clean,77,28.052630064106022,1.6801649297611128,14.743387423598952,29.811156242984797,17.634463259126555,33.341987439089365,5.938218423510072,79.70301833398584,52.55616813791535
Chive,Upper Arm,Stroke,Raw,207,24.763101613368285,2.1323579017303795,30.67928773231056,12.332813368343944,8.421142402182449,31.75990581498669,2.6066431503168626,234.65143957003085,123.89113533237064
Chive,Upper Arm,Stroke,Clean,201,20.949160402971074,1.3974682716196916,19.81253218563769,12.214059755558402,8.342430533827466,24.85485833017727,2.6066431503168626,100.31696274247795,94.57434954208387
Chive,Forearm,Healthy,Raw,85,229.35740375495243,33.42083272992615,308.1248531533033,80.03530023152841,26.745909993942384,422.16830368397865,2.7417182793634227,1155.0362732212338,134.34266699430674
Chive,Forearm,Healthy,Clean,82,197.7104088462263,29.13586125574523,263.83644500210914,70.07979982875867,26.404166916343485,209.23751511361073,2.7417182793634227,959.8719637364512,133.44590532272576
Chive,Forearm,Stroke,Raw,207,370.487670036451,260.35115127577757,3745.8007752573976,2.384169913017967,1.776345305862306,3.6400629200595045,1.960069188224122e-05,42343.33435984613,1011.0460018517921
Chive,Forearm,Stroke,Clean,192,2.755806343107898,0.11362605069489219,1.5744487429356016,2.320873653599654,1.7604208587513548,3.3156377888035733,1.960069188224122e-05,9.09506571149536,57.1320530875909
Chive,Hand,Healthy,Raw,85,271.31734473489394,37.36651798228424,344.50227375190366,151.01052596987353,27.885709668322804,361.2667429862869,2.2186079851269227,1591.4881485581964,126.97392202791873
Chive,Hand,Healthy,Clean,80,207.3741604467306,25.900236071409072,231.65875395585115,136.04820243613707,26.592662331130363,330.76729473925985,2.2186079851269227,989.6906967679618,111.71052047024858
Chive,Hand,Stroke,Raw,207,1.0632398175523208,0.012633870598804864,0.18176974463760634,1.0715039618833708,0.9348228774520759,1.1949509859544283,0.5816150608622095,1.470635522082223,17.095836859840105
Chive,Hand,Stroke,Clean,207,1.0632398175523208,0.012633870598804864,0.18176974463760634,1.0715039618833708,0.9348228774520759,1.1949509859544283,0.5816150608622095,1.470635522082223,17.095836859840105
